district,title,community,floor,year,bedroom,living_room,area,price,unit_price
雨花,低价大四房 小区中间位置 不临街 带入户花园,新城新世界一期,高楼层,2013,4,2,162.58,155,9534
雨花,毛竹塘 首付十万 拎包入住 门口地铁 汽车南站,世纪桃花苑之苹果印象,中楼层,,3,2,117.12,92.2,7873
雨花,融科三万英尺 4室2厅 南 北,融科三万英尺,低楼层,2006,4,2,145.39,228,15682
雨花,低楼层南北对流两房自住装修带杂屋,雨花区教师村,低楼层,,2,1,80.61,52.8,6551
雨花,次新小区，近地铁，毛坯两房，交通便利，地段成熟,金地格林公馆,中楼层,2017,2,2,79.46,90,11327
雨花,2021年交房天阔里4房，楼层很好位于10多层，南北通透,万科魅力之城,低楼层,,4,2,128.22,179,13961
雨花,高铁南站吾悦广场地铁4号线次新小区拎包入住品质小区,明昇壹城,低楼层,2018,4,2,142.45,285,20008
雨花,正地铁口 单位大院大两房诚心出售,长探家园,低楼层,2008,2,1,86.81,78,8986
雨花,2018年小区，中高楼层，地铁口住宅，从未入住过的精装,恒大国际广场,高楼层,,2,1,61.82,75,12132
雨花,德思勤商圈，居家精装三房，楼层好户型佳,岳泰理想城,中楼层,2013,3,2,87.38,104,11903
雨花,正地铁口50米 全河景 纯毛坯 户型周正,双水湾,低楼层,2011,4,2,125.2,138,11023
雨花,中建物业 次新小区 清水毛坯 低楼层 证在手产权干净,中建嘉和城,低楼层,,4,2,136.18,133,9767
雨花,房东急售，经理主推，看房方便，有密码，精装修,万博汇名邸二期,中楼层,2012,2,1,49.35,85,17224
雨花,万博汇二期正规四房南北通透无抵押随时看房,万博汇名邸二期,高楼层,2012,4,1,133.37,300,22494
雨花,有密码钥匙看房方便，业主自住精装修，好楼层。,绿地新都会,高楼层,,3,2,87.0,64,7357
雨花,精装修 楼层好采光佳 次新小区 从未入住全新房,阳光城尚东湾,中楼层,,3,2,94.55,95,10048
雨花,万科物业楼层视野采光好生活配套齐全交通方便,阳光城尚东湾青云苑,高楼层,,3,2,91.34,104.5,11441
雨花,5号和6号地铁口 一房 中层楼 视野好 诚心出售,长远华樟名府,高楼层,1990,1,1,35.87,26,7249
雨花,50万精装，全屋ZY空调 业主外地发展诚售爱房！,明昇壹城,高楼层,2020,4,2,140.72,300,21319
雨花,中航城三期，精装修，枫树山一路之隔，满五唯一,中航城,低楼层,,3,2,95.98,103.8,10815
雨花,树木岭不临街，清水毛坯三房，中间楼层。,龙吉湾小区,中楼层,2008,3,2,92.57,70,7562
雨花,4室2厅，户型好，楼层好，40万精装，保养的很好,优山美地,中楼层,2013,4,2,116.26,139.8,12025
雨花,汇金城三期 自住四房 中间楼层 无个税,汇金城三期,中楼层,2016,4,2,131.5,170,12928
雨花,阳光城凌云府 一线河景180度视野 四卧朝南 采光好,阳光城尚东湾凌云府,高楼层,,4,2,164.33,208,12658
雨花,背靠省植物园天然氧吧5号线宜居三房,森林公园壹号,高楼层,2011,3,1,101.05,75,7423
雨花,唯一好房，诚意出售，已签署置换协议。,德奥悦东方,高楼层,,3,2,107.68,159,14766
雨花,中yang空调，带车位，精装修，省个税，读砂子塘,中建嘉和城,高楼层,,3,2,109.46,130,11877
雨花,地铁口精装大三房 从未入住 楼下大型商场 视野开阔,高铁吾悦广场,低楼层,,3,2,110.49,152,13757
雨花,长房平和墅三房两厅 中间楼层 带全屋全新硬装,长房平和墅观山月,中楼层,2020,3,2,100.72,116,11518
雨花,树木岭 2014年新城新世界 南北通透三房 精装修 砂子塘,新城新世界三期,中楼层,2013,3,2,95.25,122,12809
雨花,满五唯一，南北向，通透，中间位置，中间楼层,绿城桂花城,中楼层,2007,2,2,94.0,118,12554
雨花,德思勤 中建信和城 毛坯两房 户型周正 采光充足,中建信和城,高楼层,,2,2,76.77,108,14068
雨花,2020年次新小区，视野开阔，交通便利,长房东旭国际,中楼层,,3,2,118.39,160,13515
雨花,德思勤 南北边户 三房拎包入住 满五唯一,卓越蔚蓝城邦,中楼层,2017,3,2,89.0,110,12360
雨花,整个小区三房全屋贴瓷砖的一套 钥匙在手 随时看,明昇壹城,高楼层,2018,3,2,126.79,234,18456
雨花,次新小区成熟配套 带露台的周正三房,乐尚城,低楼层,2014,3,2,101.23,106,10472
